reference,count
0_accA,2
10000_dsbG,0
10001_dsbG,4
10002_dsbG,0
10003_dsbG,0
10004_dsbG,0
10005_dsbG,0
10006_dsbG,0
10007_dsbG,0
10008_dsbG,1
10009_dsbG,0
1000_ampG,1
10010_dsbG,0
10011_dsbG,0
10012_dsbG,0
10013_dsbG,0
10014_dsbG,0
10015_dsbG,0
10016_dsbG,0
10017_dsbG,1
10018_dsbG,0
10019_dsbG,1
1001_ampG,0
10020_dsbG,1
10021_dsbG,0
10022_dsbG,6
10023_dsbG,0
10024_dsbG,0
10025_dsbG,3
10026_dsbG,1
10027_dsbG,0
10028_dsbG,0
10029_dsbG,0
1002_ampG,0
10030_dsbG,0
10031_dsbG,0
10032_dsbG,2
10033_dsbG,0
10034_dsbG,0
10035_dsbG,1
10036_dsbG,1
10037_dsbG,0
10038_dsbG,0
10039_dsbG,0
1003_ampG,1
10040_dsbG,0
10041_dsbG,0
10042_dsbG,0
10043_dsbG,0
10044_dsbG,0
10045_dsbG,0
10046_dsbG,0
10047_dsbG,0
10048_dsbG,2
10049_dsbG,0
1004_ampG,4
10050_dsbG,0
10051_dsbG,0
10052_dsbG,0
10053_dsbG,0
10054_dsbG,0
10055_dsbG,1
10056_dsbG,0
10057_dsbG,0
10058_dsbG,5
10059_dsbG,0
1005_ampG,0
10060_dsbG,0
10061_dsbG,0
10062_dsbG,1
10063_dsbG,0
10064_dsbG,0
10065_dsbG,0
10066_dsbG,0
10067_dsbG,0
10068_dsbG,1
10069_dsbG,0
1006_ampG,0
10070_dsbG,0
10071_dsbG,0
10072_dsbG,1
10073_dsdA,0
10074_dsdA,0
10075_dsdA,0
10076_dsdA,0
10077_dsdA,0
10078_dsdA,4
10079_dsdA,3
1007_ampG,0
10080_dsdA,0
10081_dsdA,0
10082_dsdA,0
10083_dsdA,0
10084_dsdA,0
10085_dsdA,0
10086_dsdA,1
10087_dsdA,0
10088_dsdA,0
10089_dsdA,1
1008_ampG,2
10090_dsdA,0
10091_dsdA,0
10092_dsdA,0
10093_dsdA,0
