reference,Count
30077_ompF,6712
30080_ompF,10288
30070_ompF,42
9279_dgoK,7
30824_oppC,2
10471_dsdA,7
35526_putA,59
32101_phnP,41
34603_purL,2
2464_argF,42
20139_hisA,3
13585_fepD,1
5961_cirA,121
20782_hisC,4
32989_psuG,67
39099_trpE,1
29757_nuoI,5
2960_arnF,4
21062_hisF,32
12421_fbaB,77
3433_aroE,5
24385_kdsD,1136
36564_rsgA,1
30043_ompF,6
14024_fepD,3
39077_trpE,9
17377_ghrA,1
34505_purL,18
30079_ompF,6
36029_pyrF,5
16701_garR,5
30884_oppF,1
30883_oppF,2
25106_ldcC,1
36118_pyrF,1
36119_pyrF,1
30644_oppC,2
9079_dcuC,4
36459_rpiB,5
5138_bioH,4
3484_aroH,58
21770_hisJ,1
9409_dgoK,1
36684_rutD,1
29436_norW,1
20010_hchA,2
768_allC,24
20069_hisA,5
28743_nanA,1
38156_tdcG,3
33909_purD,5
32985_psuG,12
12388_fadL,6
14678_fhuE,30
30062_ompF,3
2860_arnB,20
16300_galE,49
5092_bioH,4
37250_solA,3
1146_ansA,136
20917_hisD,4
35430_purT,2
4670_astE,3
4624_astE,1
26238_maeA,1
4954_betB,95
14584_fhuE,4
5025_bioH,2
34846_purN,4
31432_pbpC,2
39662_tyrA,3
30057_ompF,855
26377_malG,2
27061_manA,3
7785_cysH,6
32405_ppsA,3
1398_ansA,31
2422_argF,150
34695_purN,220
34080_purH,3
30046_ompF,1
30402_oppA,3
19025_gnd,1
25640_leuD,1
31579_pck,1
13996_fepD,1
21404_hisH,3
29307_nnr,128
32782_proB,40
19850_gudD,1
17775_glgB,35
30072_ompF,2
34717_purN,68
32291_plsC,5
30049_ompF,3
24556_kdsD,16
34892_purN,121
32663_preT,1
34708_purN,69
34706_purN,55
31779_pfkB,1
32322_potC,17
23371_kbl,5
20730_hisC,1
4864_betB,104
22592_hyfE,5
39582_tyrA,1
21366_hisH,1
8110_dacA,26
18177_glnA,2
8353_dacD,1
2477_argF,145
18336_glpC,3
8905_dcuC,3
12602_fecC,1
9415_dgoK,3
22758_hyfF,1
34228_purH,5
34194_purH,1
30304_oppA,37
21948_hisQ,4
3112_arnT,30
19168_gnd,1
13824_fepD,4
1231_ansA,1
21256_hisH,16
36941_sdaA,1
14107_fepG,1
31343_panB,22
17264_gdhA,77
2670_arnB,49
7859_cysJ,10
39544_trxA,4
4981_betB,148
8168_dacA,6
14766_folK,1
21142_hisF,1
9513_dkgA,128
21446_hisH,2
26296_maeA,1
40795_wcaJ,3
3862_aroK,1
587_acrD,3
37655_tauB,2
43012_zntA,42
36447_rpe,1
28674_nanA,4
23239_ilvI,2
19782_gsiD,24
36039_pyrF,1
31190_oppF,5
36875_rutF,1
36120_pyrF,10
24294_kdsC,9
11558_fabD,1
9304_dgoK,3
27412_metC,38
29788_nuoI,44
23995_kdgK,1
23898_kbl,15
40162_ugd,7
28110_mqo,52
31342_panB,28
38735_thrC,5
15981_galE,1
17331_ghrA,2
41805_ycjG,1
11599_fadA,22
12437_fecA,2
2439_argF,27
7718_cysE,4
33704_purD,3
33000_psuG,24
34530_purL,5
7711_cysE,4
2144_argE,3
5160_bioH,3
21276_hisH,147
7432_cusC,2
14167_fepG,1
34635_purL,9
949_ampG,1
42612_ygaP,6
36921_sad,1
33010_psuG,151
33012_psuG,94
21692_hisJ,3
