reference,Count
18509_glpK,3
34715_purN,1
38911_trpD,9
1100_anmK,4
35482_putA,1
37927_tauC,4
38833_trpA,9
33352_psuK,2
990_ampG,1
33968_purH,3
23539_kbl,3
14959_frdD,1
5779_chiP,6
9030_dcuC,3
31682_pfkB,3
25782_lipA,14
26297_maeA,147
31425_panB,5
1146_ansA,207
14021_fepD,18
31945_pgpB,3
25601_leuC,3
14734_folK,102
14704_fhuE,2
28256_msrA,1
15733_galE,2
35950_pyrE,1
25444_ldtE,166
9962_dsbC,16
29570_nrfA,2
7933_cysK,8
18051_glmM,187
2121_argE,2
29779_nuoI,1
36937_sad,3
38922_trpD,3
41329_wcaJ,12
34547_purL,2
38092_tdcG,1
28459_mtn,6
25724_leuD,5
3972_asnB,10
10171_dsdA,381
31877_pgl,6
23978_kdgK,7
36398_rbsC,3
17264_gdhA,135
16966_gatB,1
17572_glcB,62
5076_bioH,4
7147_cpsB,2
36888_sad,8
39846_ugd,71
615_alaC,2
5764_chiP,2
40001_ugd,6
11695_fadB,107
26961_malY,1
26137_lysA,2
12856_fecC,1
25_accD,4
31447_pbpC,2
17261_gdhA,64
33141_psuG,1
2851_arnB,3
7589_cusC,1
37540_sucC,1
5480_btuD,6
11797_fadB,100
18918_glxK,8
4373_astC,1
20957_hisD,117
3566_aroH,3
15631_galE,1
40519_wcaJ,1
36389_rbsC,2
37025_serC,4
27444_metC,7
4938_betB,206
35168_purT,3
6201_citF,2
21249_hisH,25
35885_pyrE,5
2990_arnT,121
32236_pldB,1
31869_pflD,4
2405_argE,1
5207_bisC,22
15809_galE,4
31928_pgpB,7
8346_dacD,140
37698_tauC,3
21062_hisF,85
22040_hmp,1
24245_kdgK,3
27449_metC,107
8304_dacD,3
1969_argD,1
3136_arnT,6
18968_glxK,9
27448_metC,49
32284_plsC,88
38125_tdcG,6
11688_fadB,116
18803_gltB,2
17265_gdhA,149
21189_hisF,3
1312_ansA,4
16016_galE,1
31227_pabB,2
22033_hmp,3
18208_gloA,88
20085_hisA,130
23264_katE,2
33766_purD,11
12115_fadJ,1
29498_nrdF,1
4529_astD,2
4972_betB,209
13823_fepD,3
18_accD,3
31310_pagP,121
3129_arnT,1
1511_ansB,19
1274_ansA,10
20741_hisC,1
1868_aphA,1
8332_dacD,12
27295_mepA,121
3672_aroK,3
27897_modB,1
6069_citF,1
6981_cpsB,1
36693_rutD,1
26568_malX,4
27549_metC,1
38706_thrB,5
14858_folK,91
28123_mqo,104
28110_mqo,109
3609_aroK,1
40585_wcaJ,1
932_ampG,1
28975_napC,4
8512_dapB,42
2484_argF,95
11333_exbD,1
27384_metA,1
2514_arnA,17
32136_phoE,2
25695_leuD,1
35388_purT,4
23424_kbl,1
32250_pldB,10
3817_aroK,46
8389_dadX,3
26295_maeA,171
32302_pntA,2
10868_entB,5
25946_lpxK,5
39266_trxA,4
10989_entF,1
4559_astD,8
18050_glmM,94
9316_dgoK,25
21610_hisI,2
14086_fepD,3
18209_gloA,95
519_acrD,1
25823_lldD,3
27645_metF,2
18311_glpC,7
34887_purN,1
21905_hisQ,3
11895_fadI,22
33144_psuG,2
8354_dacD,4
41878_ycjG,57
38362_thiD,5
21453_hisH,3
2710_arnB,8
14018_fepD,4
26996_manA,68
14681_fhuE,88
22289_hyfA,4
5138_bioH,3
4603_astE,1
40402_ushA,1
28262_msrA,73
683_allA,10
12157_fadJ,6
22905_iaaA,2
37597_sufS,4
35791_pyrE,46
21236_hisH,54
1440_ansB,7
6659_cpsB,18
41367_wecB,1
39098_trpE,2
35075_purT,88
37799_tauC,1
9294_dgoK,7
14678_fhuE,132
4644_astE,1
11859_fadE,1
39028_trpD,37
10835_edd,1
21718_hisJ,18
19010_gnd,58
38806_treC,12
41785_ycjG,11
38157_tdcG,3
23419_kbl,6
13736_fepD,1
2719_arnB,7
39420_trxA,1
40807_wcaJ,2
9379_dgoK,5
29867_nuoI,34
3495_aroH,160
6198_citF,1
16290_galE,6
737_allB,1
22807_hyfF,3
5780_chiP,2
36917_sad,4
21362_hisH,9
37966_tauC,12
24564_kdsD,4
32128_phoE,20
4954_betB,209
38409_thiH,14
3156_aroB,87
32237_pldB,5
28370_mtgA,2
24832_kduD,49
19831_gudD,4
2565_arnA,2
9933_dsbC,4
30306_oppA,110
36378_rbsC,1
41956_ydiB,3
6518_cobT,1
25511_leuB,58
41922_ydiB,4
36355_rbsC,1
20582_hisC,1
16430_garK,8
30958_oppF,1
32866_pspE,160
15301_gabD,1
10396_dsdA,1
34276_purH,2
7879_cysJ,1
28337_mtgA,2
13114_fepB,147
21358_hisH,3
19630_gsiC,8
28947_napA,1
40082_ugd,2
8980_dcuC,5
40213_ugd,1
16231_galE,17
21386_hisH,1
35448_purT,3
6375_cmtB,6
28878_nanA,30
17877_glgP,4
33163_psuK,137
38238_tehB,69
4971_betB,149
25455_ldtE,151
38944_trpD,2
26343_maeB,11
2906_arnE,8
18178_glnA,2
2410_argF,10
13188_fepB,2
17603_glcB,6
28590_nanA,10
41966_ydjG,1
10431_dsdA,1
31933_pgpB,2
2866_arnB,43
20381_hisB,1
4865_betB,1
33919_purE,202
18776_gltB,1
7470_cusC,1
13737_fepD,2
20742_hisC,4
15420_gabD,1
32421_ppsA,1
27775_mhpF,24
30713_oppC,3
5993_citD,164
8414_dadX,4
19448_gpmA,1
17118_gcvH,22
38067_tdcG,5
8433_dadX,1
12044_fadJ,1
3433_aroE,4
3271_aroB,14
2703_arnB,4
1486_ansB,5
42360_yfcG,7
7628_cusC,7
29560_nrdG,4
34480_purK,2
39566_tsx,9
27783_mhpF,8
39023_trpD,54
21324_hisH,1
9371_dgoK,7
8135_dacA,1
22675_hyfE,1
29036_narJ,101
22654_hyfE,2
12668_fecC,7
25805_lldD,73
21683_hisI,1
6411_coaE,1
39234_trxA,11
16967_gatB,4
29904_nuoI,85
13994_fepD,6
4200_astB,1
30928_oppF,2
2720_arnB,5
15655_galE,2
2749_arnB,1
15095_fumC,11
1397_ansA,51
34723_purN,10
15146_gabD,2
21493_hisH,1
41827_ycjG,8
22428_hyfB,1
10845_edd,2
29219_nikE,5
3406_aroD,2
32477_preA,4
6877_cpsB,2
23892_kbl,20
2107_argE,1
27891_mobB,13
30293_oppA,1
6224_citF,6
33321_psuK,5
30392_oppA,5
2428_argF,29
25107_ldcC,7
18502_glpK,7
5027_bioH,2
16988_gatB,9
36414_rbsC,9
18274_glpC,7
18270_glpB,1
36933_sad,43
7886_cysJ,9
24502_kdsD,1
37372_solA,8
26744_malX,5
12426_fecA,5
25199_ldtA,2
33184_psuK,3
35219_purT,1
39113_trpE,2
39962_ugd,1
33096_psuG,1
41680_wzxE,1
21176_hisF,2
20492_hisB,1
38215_tdh,8
15155_gabD,2
28675_nanA,21
27182_manA,6
30374_oppA,1
32986_psuG,167
10709_dsdA,3
28611_nanA,3
25506_leuB,10
39614_tyrA,2
586_acrD,6
20075_hisA,1
22386_hyfA,2
8060_cysN,3
9431_dgoK,8
21917_hisQ,5
16641_garR,4
36124_queD,4
11082_eutD,1
14935_frdD,4
15632_galE,1
6644_cpdB,3
6753_cpsB,2
9386_dgoK,8
4654_astE,2
22735_hyfF,3
36369_rbsC,2
32989_psuG,105
19477_gpr,4
16412_galU,2
29757_nuoI,10
16277_galE,1
35349_purT,2
15948_galE,5
38072_tdcG,5
35614_putA,5
20238_hisA,1
24918_ldcA,3
29610_nrfA,1
19049_gnd,133
18839_gltB,11
36474_rpiB,8
22285_hyfA,5
21405_hisH,1
41560_wzxE,3
17536_ghrB,121
14399_fepG,2
37370_solA,8
35257_purT,2
38894_trpD,1
14740_folK,3
5125_bioH,15
16291_galE,5
17377_ghrA,3
2527_arnA,1
26333_maeB,4
18716_glsA,9
23895_kbl,69
24018_kdgK,20
27814_mltC,3
20665_hisC,6
5614_btuD,4
4969_betB,244
13430_fepB,2
41941_ydiB,3
9295_dgoK,1
22707_hyfE,3
8031_cysN,2
7894_cysJ,2
16707_garR,3
20246_hisA,54
41283_wcaJ,6
9092_dcuC,7
18081_glmM,120
19507_gsiC,1
17247_gcvT,89
9275_dgoK,9
9276_dgoK,2
19661_gsiD,3
25457_ldtE,126
6616_cobT,1
28381_mtn,14
41373_wecB,1
22435_hyfB,1
22595_hyfE,29
30888_oppF,6
36778_rutD,8
8999_dcuC,3
41095_wcaJ,7
17558_glcB,71
13240_fepB,4
18764_glsB,1
753_allC,3
2515_arnA,9
9888_dsbC,96
32175_phoE,2
35940_pyrE,7
35987_pyrE,39
2439_argF,76
29726_nudK,12
17649_glcB,4
33083_psuG,4
